,gene_group,B,C,D,E,F,L,A,,Basal,index_all
3204,"phoA,hprK,plsY,scrB,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.026231659,0.394680492,0.957957958,0.596673333
2834,"pmi,hprK,mfd,carB,atpB_2,group",0.060606061,0.119318182,0,0,0.18852459,0,0.026231659,0.394680492,0.963963964,0.598932249
1976,"phoA,hprK,mntB,scrB,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.026231659,0.394680492,0.963963964,0.596695371
1540,"phoA,hprK,carB,plsY,scrB,group",0.119318182,0.060606061,0,0,0.18852459,0,0.026231659,0.394680492,0.962462462,0.596006678
3752,"phoA,clpB,trkA,gatA,atpB_2,group",0.060606061,0.119318182,0,0,0.158469945,0,0.057154025,0.395548213,0.923423423,0.60848581
4516,"phoA,hprK,pitA,ctaA,tdk,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.026231659,0.396822817,0.956456456,0.596309703
4368,"phoA,hprK,mntC,pknB,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.02624562,0.396836777,0.962462462,0.596337251
2624,"pmi,hprK,fhuA_2~~~fhuA_1,carB,atpB_2,group",0.060606061,0.119318182,0,0,0.186885246,0,0.031438902,0.39824839,0.960960961,0.600959764
2808,"phoA,hprK,abcA,carB,atpB_2,group",0.060606061,0.119318182,0,0.090909091,0.127868852,0,0,0.398702186,0.968468468,0.585841556
4072,"phoA,hprK,carB,tgt,atpB_2,group",0.060606061,0.119318182,0,0.090909091,0.127868852,0,0,0.398702186,0.947447447,0.585764423
1474,"phoA,hprK,trkA,gatA,prfA,group",0.119318182,0.060606061,0,0,0.18852459,0,0.0313691,0.399817933,0.942942943,0.598651262
4268,"pmi,hprK,carB,obgE,atpB_2,group",0.060606061,0.119318182,0,0,0.18852459,0,0.031424942,0.399873774,0.938438438,0.60088814
192,"pmi,hprK,carB,aroA,atpB_2,group",0.060606061,0.119318182,0,0,0.18852459,0,0.031424942,0.399873774,0.95045045,0.600932216
2388,"phoA,clpB,pitA,carB,atpB_2,group",0,0.119318182,0,0.090909091,0.158469945,0,0.031410981,0.400108199,0.944444444,0.598315179
988,"phoA,hprK,qoxA,gatA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.0313691,0.401960257,0.938438438,0.598276613
30,"phoA,hprK,pitA,murD,gatA,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.062263545,0.40225361,0.954954955,0.609549153
84,"phoA,hprK,rpoC,trkA,atpB_2,group",0.119318182,0.119318182,0,0,0.158469945,0,0.005277045,0.402383354,0.963963964,0.588276778
2496,"phoA,hprK,carB,dinG,atpB_2,group",0.119318182,0.119318182,0,0,0.158469945,0,0.005277045,0.402383354,0.947447447,0.588216173
3501,"pmi,hprK,fhuA_2~~~fhuA_1,carB,murC,group",0.119318182,0.060606061,0,0,0.186885246,0,0.036632184,0.403441673,0.960960961,0.602326132
3674,"pmi,hprK,mntC,carB,atpB_2,group",0.060606061,0.119318182,0,0.090909091,0.096721311,0,0.036618224,0.404172869,0.960960961,0.602210432
4498,"phoA,hprK,mntB,trkA,gatA,group",0.119318182,0.060606061,0,0,0.18852459,0,0.036562382,0.405011215,0.962462462,0.600094764
628,"phoA,hprK,priA,gatA,atpB_2,group",0.060606061,0.119318182,0,0,0.18852459,0,0.036562382,0.405011215,0.93993994,0.600700815
2902,"phoA,hprK,trkA,plsY,gatA,group",0.119318182,0.060606061,0,0,0.18852459,0,0.036562382,0.405011215,0.941441441,0.600017631
4748,"phoA,hprK,rpoC,murD,atpB_2,group",0.060606061,0.119318182,0,0,0.18852459,0,0.036590303,0.405039136,0.962462462,0.600794477
2158,"phoA,clpB,mntB,trkA,atpB_2,group",0.060606061,0.119318182,0,0,0.18852459,0,0.036604264,0.405053096,0.956456456,0.600777949
2396,"phoA,clpB,trkA,plsY,atpB_2,group",0.060606061,0.119318182,0,0,0.18852459,0,0.036604264,0.405053096,0.932432432,0.600689796
328,"phoA,hprK,pknB,scrB,atpB_2,group",0.119318182,0.060606061,0,0,0.18852459,0,0.036632184,0.405081017,0.957957958,0.600788968
1548,"phoA,clpB,mnh_A1,carB,atpB_2,group",0,0.119318182,0,0.090909091,0.158469945,0,0.036604264,0.405301482,0.956456456,0.600414318
2396,"phoA,clpB,pitA,carB,tdk,group",0,0.119318182,0,0.090909091,0.158469945,0,0.036604264,0.405301482,0.944444444,0.600370242
4468,"pmi,hprK,ctaA,gatA,atpB_2,group",0.060606061,0.119318182,0,0,0.158469945,0,0.067400986,0.405795173,0.929429429,0.614750169
1264,"phoA,hprK,abcA,carB,plsY,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.005277045,0.405922847,0.966966967,0.587654199
4278,"phoA,hprK,mntB,carB,tgt,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.005277045,0.405922847,0.965465465,0.587648689
4494,"phoA,hprK,pitA,carB,prfA,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.005277045,0.405922847,0.960960961,0.588337383
1542,"phoA,hprK,carB,plsY,tgt,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.005277045,0.405922847,0.945945946,0.587577065
3766,"phoA,hprK,mnh_A1,carB,gatA,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.036562382,0.40715354,0.965465465,0.599725624
1676,"phoA,hprK,mnh_A1,gatA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.036562382,0.40715354,0.962462462,0.600419828
4597,"phoA,hprK,murD,gatA,murZ,group",0.060606061,0.060606061,0,0,0.18852459,0,0.097527607,0.407264318,0.938438438,0.624645323
4600,"phoA,hprK,murD,gatA,tdk,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.067373065,0.407363129,0.938438438,0.612215776
4678,"phoA,hprK,pitA,trkA,atpB_2,group",0.119318182,0.060606061,0,0.090909091,0.127868852,0,0.010540129,0.409242315,0.960960961,0.589979229
4280,"phoA,hprK,mntC,carB,ctrA,group",0.060606061,0.060606061,0,0.090909091,0.187978142,0,0.010540129,0.410639483,0.966966967,0.590436522
4668,"phoA,hprK,pitA,rnc,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.187978142,0,0.010540129,0.410639483,0.956456456,0.590397955
4688,"phoA,hprK,pitA,typA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.187978142,0,0.010540129,0.410639483,0.956456456,0.590397955
3446,"phoA,hprK,mfd,carB,tdk,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.010540129,0.411185932,0.968468468,0.590447541
3654,"phoA,hprK,mnh_A1,carB,prfA,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.010540129,0.411185932,0.966966967,0.590442031
4218,"phoA,hprK,mntB,qoxA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.010540129,0.411185932,0.962462462,0.590425503
3500,"phoA,hprK,pitA,plsY,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.010540129,0.411185932,0.956456456,0.590403464
2484,"phoA,hprK,carB,aroA,tdk,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.010540129,0.411185932,0.959459459,0.590414484
3376,"phoA,hprK,qoxA,aroA,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.010540129,0.411185932,0.953453453,0.590392445
3416,"phoA,hprK,qoxA,plsY,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.010540129,0.411185932,0.938438438,0.59033735
4040,"phoA,hprK,carB,obgE,tdk,group",0.060606061,0.060606061,0,0.090909091,0.18852459,0,0.010540129,0.411185932,0.947447447,0.590370407
4286,"phoA,hprK,mntC,carB,tdk,group",0.060606061,0.060606061,0,0.177489177,0.096721311,0,0.015789253,0.411211863,0.966966967,0.591703718
1708,"pmi,clpB,carB,gatA,atpB_2,group",0,0.176136364,0,0,0.158469945,0,0.077536262,0.412142571,0.917417417,0.618695008
4666,"pmi,hprK,mntC,carB,plsY,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.041797546,0.412388703,0.959459459,0.603995526
3698,"phoA,hprK,mnh_A1,murD,atpB_2,group",0.060606061,0.060606061,0,0.090909091,0.158469945,0,0.041797546,0.412388703,0.962462462,0.602491419
4582,"phoA,hprK,mntC,murD,gatA,group",0.060606061,0.060606061,0,0.090909091,0.127868852,0,0.072468624,0.412458689,0.960960961,0.613609692
